run,operation,started,time,status,label,data_version,epochs_specs,loss_specs,model_version,optimizer_specs,step,accuracy,loss
d67a1525,main.py,2020-05-31 23:45:18,0:00:14,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='12' optimizer_specs=SGD,1,150,hinge,12,SGD,150,0.9176999926567078,1.0
101c1780,main.py,2020-05-31 23:44:58,0:00:12,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='11' optimizer_specs=SGD,1,150,hinge,11,SGD,150,0.9176999926567078,1.0
872c80f3,main.py,2020-05-31 23:44:30,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='10' optimizer_specs=SGD,1,150,hinge,10,SGD,150,0.9176999926567078,1.0
fa9e8dfd,main.py,2020-05-31 23:44:09,0:00:14,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='9' optimizer_specs=SGD,1,150,hinge,9,SGD,150,0.9176999926567078,1.0011999607086182
00123a72,main.py,2020-05-31 23:43:43,0:00:12,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='8' optimizer_specs=SGD,1,150,hinge,8,SGD,150,0.9176999926567078,1.0117000341415405
a589e4b3,main.py,2020-05-31 23:43:16,0:00:18,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='7' optimizer_specs=SGD,1,150,hinge,7,SGD,150,0.9176999926567078,1.0013999938964844
6ffb6743,main.py,2020-05-31 23:42:51,0:00:16,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='6' optimizer_specs=SGD,1,150,hinge,6,SGD,150,0.9176999926567078,1.0055999755859375
dac4c77e,main.py,2020-05-31 23:42:30,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='5' optimizer_specs=SGD,1,150,hinge,5,SGD,150,0.9176999926567078,1.0033999681472778
ecbd9a94,main.py,2020-05-31 23:41:22,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='4' optimizer_specs=SGD,1,150,hinge,4,SGD,150,0.9176999926567078,1.0020999908447266
91d8bc17,main.py,2020-05-31 23:40:38,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='3' optimizer_specs=SGD,1,150,hinge,3,SGD,150,0.9176999926567078,1.0
7d1720a3,main.py,2020-05-31 23:40:06,0:00:15,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='2' optimizer_specs=SGD,1,150,hinge,2,SGD,150,0.9176999926567078,1.0
785e54d8,main.py,2020-05-31 23:38:11,0:00:14,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='1' optimizer_specs=SGD,1,150,hinge,1,SGD,150,0.9176999926567078,1.0
0db1bbd9,main.py,2020-05-31 23:27:35,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='12' optimizer_specs=adam,1,150,hinge,12,adam,150,0.9176999926567078,1.0
9ee51c48,main.py,2020-05-31 23:27:17,0:00:11,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='11' optimizer_specs=adam,1,150,hinge,11,adam,150,0.9176999926567078,1.0
5ede24ac,main.py,2020-05-31 23:26:59,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='10' optimizer_specs=adam,1,150,hinge,10,adam,150,0.9176999926567078,1.0
24016ec3,main.py,2020-05-31 23:24:26,0:00:14,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='9' optimizer_specs=adam,1,150,hinge,9,adam,150,0.9176999926567078,1.0
28423ef1,main.py,2020-05-31 23:24:07,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='8' optimizer_specs=adam,1,150,hinge,8,adam,150,0.9176999926567078,1.0
fec211c4,main.py,2020-05-31 23:23:48,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='7' optimizer_specs=adam,1,150,hinge,7,adam,150,0.9176999926567078,1.0
e016ba81,main.py,2020-05-31 23:22:03,0:00:15,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='6' optimizer_specs=adam,1,150,hinge,6,adam,150,0.9176999926567078,1.000599980354309
e90374a8,main.py,2020-05-31 23:20:25,0:00:17,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='5' optimizer_specs=adam,1,150,hinge,5,adam,150,0.9176999926567078,1.000100016593933
df92da41,main.py,2020-05-31 23:19:14,0:00:17,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='4' optimizer_specs=adam,1,150,hinge,4,adam,150,0.9176999926567078,1.000100016593933
59f26cf8,main.py,2020-05-31 23:14:14,0:00:16,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='3' optimizer_specs=adam,1,150,hinge,3,adam,150,0.9176999926567078,1.0
c8c7b669,main.py,2020-05-31 23:13:42,0:00:15,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='2' optimizer_specs=adam,1,150,hinge,2,adam,150,0.9176999926567078,1.0
9ae6ad6b,main.py,2020-05-31 23:09:32,0:00:16,completed,data_version='1' epochs_specs=150 loss_specs=hinge model_version='1' optimizer_specs=adam,1,150,hinge,1,adam,150,0.9176999926567078,1.0
29d68513,main.py,2020-05-31 22:52:41,0:00:12,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='12' optimizer_specs=SGD,1,150,binary_crossentropy,12,SGD,150,0.9176999926567078,0.2784000039100647
ca6a8fe7,main.py,2020-05-31 22:52:14,0:00:14,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='11' optimizer_specs=SGD,1,150,binary_crossentropy,11,SGD,150,0.9176999926567078,1.2700999975204468
87e3ac29,main.py,2020-05-31 22:51:24,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='10' optimizer_specs=SGD,1,150,binary_crossentropy,10,SGD,150,0.9176999926567078,1.2700999975204468
9a397614,main.py,2020-05-31 22:50:59,0:00:12,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='9' optimizer_specs=SGD,1,150,binary_crossentropy,9,SGD,150,0.9176999926567078,0.2825999855995178
ed773829,main.py,2020-05-31 22:50:05,0:00:12,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='8' optimizer_specs=SGD,1,150,binary_crossentropy,8,SGD,150,0.9176999926567078,0.27869999408721924
88ffd9fe,main.py,2020-05-31 22:48:55,0:00:12,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='7' optimizer_specs=SGD,1,150,binary_crossentropy,7,SGD,150,0.9176999926567078,0.2777999937534332
7bb6b60d,main.py,2020-05-31 22:48:01,0:00:12,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='6' optimizer_specs=SGD,1,150,binary_crossentropy,6,SGD,150,0.9176999926567078,0.2842000126838684
cd17518d,main.py,2020-05-31 22:47:21,0:00:12,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='5' optimizer_specs=SGD,1,150,binary_crossentropy,5,SGD,150,0.9176999926567078,0.2849000096321106
5b6a269c,main.py,2020-05-31 22:46:14,0:00:12,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='4' optimizer_specs=SGD,1,150,binary_crossentropy,4,SGD,150,0.9176999926567078,0.28459998965263367
50e0f036,main.py,2020-05-31 22:45:53,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='3' optimizer_specs=SGD,1,150,binary_crossentropy,3,SGD,150,0.9176999926567078,0.2825999855995178
4397b962,main.py,2020-05-31 22:45:34,0:00:13,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='2' optimizer_specs=SGD,1,150,binary_crossentropy,2,SGD,150,0.9176999926567078,1.2700999975204468
5619c7ab,main.py,2020-05-31 22:44:44,0:00:14,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='1' optimizer_specs=SGD,1,150,binary_crossentropy,1,SGD,150,0.9176999926567078,1.2700999975204468
428e4de2,main.py,2020-05-31 22:21:17,0:00:14,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='12' optimizer_specs=adam,1,150,binary_crossentropy,12,adam,150,0.9176999926567078,0.2565999925136566
232e2049,main.py,2020-05-31 22:20:53,0:00:14,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='11' optimizer_specs=adam,1,150,binary_crossentropy,11,adam,150,0.9176999926567078,0.25429999828338623
e95fc7d2,main.py,2020-05-31 22:20:21,0:00:14,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='10' optimizer_specs=adam,1,150,binary_crossentropy,10,adam,150,0.9176999926567078,0.24709999561309814
b7d04a3d,main.py,2020-05-31 22:18:59,0:00:15,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='9' optimizer_specs=adam,1,150,binary_crossentropy,9,adam,150,0.9176999926567078,0.28450000286102295
5bc29943,main.py,2020-05-31 22:18:28,0:00:14,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='8' optimizer_specs=adam,1,150,binary_crossentropy,8,adam,150,0.9176999926567078,0.2476000040769577
f6f67f0b,main.py,2020-05-31 22:17:57,0:00:15,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='7' optimizer_specs=adam,1,150,binary_crossentropy,7,adam,150,0.9225999712944031,0.24459999799728394
86282515,main.py,2020-05-31 22:15:52,0:00:18,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='6' optimizer_specs=adam,1,150,binary_crossentropy,6,adam,150,0.9176999926567078,0.2583000063896179
8cb91a02,main.py,2020-05-31 22:14:47,0:00:18,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='5' optimizer_specs=adam,1,150,binary_crossentropy,5,adam,150,0.9176999926567078,0.25589999556541443
04d71325,main.py,2020-05-31 22:13:20,0:00:15,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='4' optimizer_specs=adam,1,150,binary_crossentropy,4,adam,150,0.9186999797821045,0.25200000405311584
86ee0763,main.py,2020-05-31 22:12:44,0:00:17,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='3' optimizer_specs=adam,1,150,binary_crossentropy,3,adam,150,0.9196000099182129,0.3206000030040741
ac581eb0,main.py,2020-05-31 22:06:56,0:00:24,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='2' optimizer_specs=adam,1,150,binary_crossentropy,2,adam,150,0.9176999926567078,1.2700999975204468
7bb15f66,main.py,2020-05-31 22:05:37,0:00:32,completed,data_version='1' epochs_specs=150 loss_specs=binary_crossentropy model_version='1' optimizer_specs=adam,1,150,binary_crossentropy,1,adam,150,0.9077000021934509,0.4975000023841858
